Pixels, Value
118,6, 50752
118,7, 50752
118,8, 50752
118,9, 50752
119, 50752
119,1, 50752
119,2, 50752
119,3, 54144
119,4, 54144
119,5, 54144
119,6, 54144
119,7, 54144
119,8, 54144
119,9, 54144
120, 54144
120,1, 54144
120,2, 54144
120,3, 54976
120,4, 54976
120,5, 54976
120,6, 54976
120,7, 54976
120,8, 54976
120,9, 54976
121, 54976
121,1, 54976
121,2, 54976
121,3, 54848
121,4, 54848
121,5, 54848
121,6, 54848
121,7, 54848
121,8, 54848
121,9, 54848
122, 54848
122,1, 54848
122,2, 54848
122,3, 55360
122,4, 55360
122,5, 55360
122,6, 55360
122,7, 55360
122,8, 55360
122,9, 55360
123, 55360
123,1, 55360
123,2, 55360
123,3, 55616
123,4, 55616
123,5, 55616
123,6, 55616
123,7, 55616
123,8, 55616
123,9, 55616
124, 55616
124,1, 55616
124,2, 55616
124,3, 54720
124,4, 54720
124,5, 54720
124,6, 54720
124,7, 54720
124,8, 54720
124,9, 54720
125, 54720
125,1, 54720
125,2, 54720
125,3, 55360
125,4, 55360
125,5, 55360
125,6, 55360
125,7, 55360
125,8, 55360
125,9, 55360
126, 55360
126,1, 55360
126,2, 55360
126,3, 55808
126,4, 55808
126,5, 55808
126,6, 55808
126,7, 55808
126,8, 55808
126,9, 55808
127, 55808
127,1, 55808
127,2, 55808
127,3, 55872
127,4, 55872
127,5, 55872
127,6, 55872
127,7, 55872
127,8, 55872
127,9, 55872
128, 55872
128,1, 55872
128,2, 55872
128,3, 56448
128,4, 56448
128,5, 56448
128,6, 56448
128,7, 56448
128,8, 56448
128,9, 56448
129, 56448
129,1, 56448
129,2, 56448
129,3, 55488
129,4, 55488
129,5, 55488
129,6, 55488
129,7, 55488
129,8, 55488
129,9, 55488
130, 55488
130,1, 55488
130,2, 55488
130,3, 55808
130,4, 55808
130,5, 55808
130,6, 55808
130,7, 55808
130,8, 55808
130,9, 55808
131, 55808
131,1, 55808
131,2, 55808
131,3, 55872
131,4, 55872
131,5, 55872
131,6, 55872
131,7, 55872
131,8, 55872
131,9, 55872
132, 55872
132,1, 55872
132,2, 55872
132,3, 55552
132,4, 55552
132,5, 55552
132,6, 55552
132,7, 55552
132,8, 55552
132,9, 55552
133, 55552
133,1, 55552
133,2, 55552
