Pixels, Value
0, 4800
86,3, 4608
86,4, 4608
86,5, 4800
86,6, 4800
86,7, 4800
86,8, 4800
86,9, 4800
87, 4800
87,1, 4800
87,2, 4800
87,3, 4800
87,4, 4800
87,5, 4928
87,6, 4928
87,7, 4928
87,8, 4928
87,9, 4928
88, 4928
88,1, 4928
88,2, 4928
88,3, 4928
88,4, 4928
88,5, 4928
88,6, 4928
88,7, 4928
88,8, 4928
88,9, 4928
89, 4928
89,1, 4928
89,2, 4928
89,3, 4928
89,4, 4928
89,5, 4800
89,6, 4800
89,7, 4800
89,8, 4800
89,9, 4800
90, 4800
90,1, 4800
90,2, 4800
90,3, 4800
90,4, 4800
90,5, 5440
90,6, 5440
90,7, 5440
90,8, 5440
90,9, 5440
91, 5440
91,1, 5440
91,2, 5440
91,3, 5440
91,4, 5440
91,5, 5184
91,6, 5184
91,7, 5184
91,8, 5184
91,9, 5184
92, 5184
92,1, 5184
92,2, 5184
92,3, 5184
92,4, 5184
92,5, 5504
92,6, 5504
92,7, 5504
92,8, 5504
92,9, 5504
93, 5504
93,1, 5504
93,2, 5504
93,3, 5504
93,4, 5504
93,5, 5184
93,6, 5184
93,7, 5184
93,8, 5184
93,9, 5184
94, 5184
94,1, 5184
94,2, 5184
94,3, 5184
94,4, 5184
94,5, 5696
94,6, 5696
94,7, 5696
94,8, 5696
94,9, 5696
95, 5696
95,1, 5696
95,2, 5696
95,3, 5696
95,4, 5696
95,5, 6208
95,6, 6208
95,7, 6208
95,8, 6208
95,9, 6208
96, 6208
96,1, 6208
96,2, 6208
96,3, 6208
96,4, 6208
96,5, 6080
96,6, 6080
96,7, 6080
96,8, 6080
96,9, 6080
97, 6080
97,1, 6080
97,2, 6080
97,3, 6080
97,4, 6080
97,5, 7232
97,6, 7232
97,7, 7232
97,8, 7232
97,9, 7232
98, 7232
98,1, 7232
98,2, 7232
98,3, 7232
98,4, 7232
98,5, 6720
98,6, 6720
98,7, 6720
98,8, 6720
98,9, 6720
99, 6720
99,1, 6720
99,2, 6720
99,3, 6720
99,4, 6720
99,5, 7104
99,6, 7104
99,7, 7104
99,8, 7104
99,9, 7104
100, 7104
100,1, 7104
100,2, 7104
100,3, 7104
100,4, 7104
100,5, 7040
100,6, 7040
100,7, 7040
100,8, 7040
100,9, 7040
101, 7040
101,1, 7040
101,2, 7040
101,3, 7040
101,4, 7040
101,5, 8128
101,6, 8128
101,7, 8128
101,8, 8128
101,9, 8128
102, 8128
102,1, 8128
102,2, 8128
102,3, 8128
102,4, 8128
102,5, 8448
102,6, 8448
102,7, 8448
102,8, 8448
102,9, 8448
103, 8448
103,1, 8448
103,2, 8448
103,3, 8448
103,4, 8448
103,5, 9152
103,6, 9152
103,7, 9152
103,8, 9152
103,9, 9152
104, 9152
104,1, 9152
104,2, 9152
104,3, 9152
104,4, 9152
104,5, 10560
104,6, 10560
104,7, 10560
104,8, 10560
104,9, 10560
105, 10560
105,1, 10560
105,2, 10560
105,3, 10560
105,4, 10560
105,5, 12032
105,6, 12032
105,7, 12032
105,8, 12032
105,9, 12032
106, 12032
106,1, 12032
106,2, 12032
106,3, 12032
106,4, 12032
106,5, 17856
106,6, 17856
106,7, 17856
106,8, 17856
106,9, 17856
107, 17856
107,1, 17856
107,2, 17856
107,3, 17856
107,4, 17856
107,5, 35648
107,6, 35648
107,7, 35648
107,8, 35648
107,9, 35648
108, 35648
108,1, 35648
108,2, 35648
108,3, 35648
108,4, 35648
108,5, 43328
108,6, 43328
108,7, 43328
108,8, 43328
108,9, 43328
109, 43328
109,1, 43328
109,2, 43328
109,3, 43328
109,4, 43328
109,5, 47552
109,6, 47552
109,7, 47552
109,8, 47552
109,9, 47552
110, 47552
110,1, 47552
110,2, 47552
110,3, 47552
110,4, 47552
110,5, 50368
110,6, 50368
110,7, 50368
110,8, 50368
110,9, 50368
111, 50368
111,1, 50368
111,2, 50368
111,3, 50368
111,4, 50368
111,5, 50368
111,6, 50368
111,7, 50368
111,8, 50368
111,9, 50368
112, 50368
112,1, 50368
112,2, 50368
112,3, 50368
112,4, 50368
112,5, 53376
112,6, 53376
112,7, 53376
112,8, 53376
112,9, 53376
113, 53376
113,1, 53376
113,2, 53376
113,3, 53376
113,4, 53376
113,5, 51776
113,6, 51776
113,7, 51776
113,8, 51776
113,9, 51776
114, 51776
114,1, 51776
114,2, 51776
114,3, 51776
114,4, 51776
114,5, 51712
114,6, 51712
114,7, 51712
114,8, 51712
114,9, 51712
115, 51712
115,1, 51712
115,2, 51712
115,3, 51712
115,4, 51712
115,5, 52928
115,6, 52928
115,7, 52928
115,8, 52928
115,9, 52928
116, 52928
116,1, 52928
116,2, 52928
116,3, 52928
116,4, 52928
116,5, 53120
116,6, 53120
116,7, 53120
116,8, 53120
116,9, 53120
117, 53120
117,1, 53120
117,2, 53120
117,3, 53120
117,4, 53120
117,5, 55680
117,6, 55680
117,7, 55680
117,8, 55680
117,9, 55680
118, 55680
118,1, 55680
118,2, 55680
118,3, 55680
118,4, 55680
118,5, 54592
118,6, 54592
118,7, 54592
118,8, 54592
118,9, 54592
119, 54592
119,1, 54592
119,2, 54592
119,3, 54592
119,4, 54592
119,5, 54336
119,6, 54336
119,7, 54336
119,8, 54336
119,9, 54336
120, 54336
120,1, 54336
120,2, 54336
120,3, 54336
120,4, 54336
120,5, 54784
120,6, 54784
120,7, 54784
120,8, 54784
120,9, 54784
121, 54784
121,1, 55808
121,2, 55808
121,3, 55808
121,4, 55808
121,5, 54784
121,6, 54784
121,7, 54784
121,8, 54784
121,9, 54784
122, 54784
122,1, 54784
122,2, 54784
122,3, 54784
122,4, 54784
122,5, 55232
122,6, 55232
122,7, 55232
122,8, 55232
122,9, 55232
123, 55232
123,1, 55232
123,2, 55232
123,3, 55232
123,4, 55232
123,5, 55488
123,6, 55488
123,7, 55488
123,8, 55488
123,9, 55488
124, 55488
124,1, 55488
124,2, 55488
124,3, 55488
124,4, 55488
124,5, 54336
124,6, 54336
124,7, 54336
124,8, 54336
124,9, 54336
125, 54336
125,1, 54336
125,2, 54336
125,3, 54336
125,4, 54336
125,5, 55232
125,6, 55232
125,7, 55232
125,8, 55232
125,9, 55232
126, 55232
126,1, 55232
126,2, 55232
126,3, 55232
126,4, 55232
126,5, 54464
126,6, 54464
126,7, 54464
126,8, 54464
126,9, 54464
127, 54464
127,1, 54464
127,2, 54464
127,3, 54464
127,4, 54464
127,5, 54400
127,6, 54400
127,7, 54400
127,8, 54400
127,9, 54400
128, 54400
128,1, 54400
128,2, 54400
128,3, 54400
128,4, 54400
128,5, 55168
128,6, 55168
128,7, 55168
128,8, 55168
128,9, 55168
129, 55168
129,1, 55168
129,2, 55168
129,3, 55168
129,4, 55168
129,5, 56064
129,6, 56064
129,7, 56064
129,8, 56064
129,9, 56064
130, 56064
130,1, 56064
130,2, 56064
130,3, 56064
130,4, 56064
130,5, 55232
130,6, 55232
130,7, 55232
130,8, 55232
130,9, 55232
131, 55232
131,1, 55232
131,2, 55232
131,3, 55232
131,4, 55232
131,5, 55616
131,6, 55616
131,7, 55616
131,8, 55616
131,9, 55616
132, 55616
132,1, 55616
132,2, 55616
132,3, 55616
132,4, 55616
132,5, 56192
132,6, 56192
132,7, 56192
132,8, 56192
132,9, 56192
133, 56192
133,1, 56192
133,2, 56192
133,3, 56192
133,4, 56192
133,5, 55808
133,6, 55808
133,7, 55808
133,8, 55808
133,9, 55808
134, 55808
134,1, 55808
134,2, 55808
134,3, 55808
134,4, 55808
134,5, 55232
134,6, 55232
134,7, 55232
134,8, 55232
134,9, 55232
135, 55232
135,1, 55232
135,2, 55232
135,3, 55232
135,4, 55232
135,5, 55232
135,6, 55232
135,7, 55232
135,8, 55232
135,9, 55232
136, 55232
136,1, 55232
136,2, 55232
136,3, 55232
136,4, 55232
136,5, 54976
136,6, 54976
136,7, 54976
136,8, 54976
136,9, 54976
137, 54976
137,1, 54976
137,2, 54976
137,3, 54976
137,4, 54976
137,5, 55488
137,6, 55488
137,7, 55488
137,8, 55488
137,9, 55488
138, 55488
138,1, 55488
138,2, 55488
138,3, 55488
138,4, 55488
138,5, 56448
138,6, 56448
138,7, 56448
138,8, 56448
138,9, 56448
139, 56448
139,1, 56448
139,2, 56448
139,3, 56448
139,4, 56448
139,5, 55936
139,6, 55936
139,7, 55936
139,8, 55936
139,9, 55936
140, 55936
140,1, 55936
140,2, 55936
140,3, 55936
140,4, 55936
140,5, 55744
140,6, 55744
140,7, 55744
140,8, 55744
140,9, 55744
141, 55744
141,1, 55744
141,2, 55744
141,3, 55744
141,4, 55744
141,5, 56128
141,6, 56128
141,7, 56128
141,8, 56128
141,9, 56128
142, 56128
142,1, 56128
142,2, 56128
142,3, 56128
142,4, 56128
142,5, 56640
142,6, 56640
142,7, 56640
142,8, 56640
142,9, 56640
143, 56640
143,1, 56640
143,2, 56640
143,3, 56640
143,4, 56640
143,5, 56064
143,6, 56064
143,7, 56064
143,8, 56064
143,9, 56064
144, 56064
144,1, 56064
144,2, 56064
144,3, 56064
144,4, 56064
144,5, 54656
144,6, 54656
144,7, 54656
144,8, 54656
144,9, 54656
145, 54656
145,1, 54656
145,2, 54656
145,3, 54656
145,4, 54656
145,5, 54720
145,6, 54720
145,7, 54720
145,8, 54720
145,9, 54720
146, 54720
146,1, 54720
146,2, 54720
146,3, 54720
146,4, 54720
146,5, 56960
146,6, 56960
146,7, 56960
146,8, 56960
146,9, 56960
147, 56960
147,1, 56960
147,2, 56960
147,3, 56960
147,4, 56960
147,5, 56576
147,6, 56576
147,7, 56576
147,8, 56576
147,9, 56576
148, 56576
148,1, 56576
148,2, 56576
148,3, 56576
148,4, 56576
148,5, 55616
148,6, 55616
148,7, 55616
148,8, 55616
148,9, 55616
149, 55616
149,1, 55616
149,2, 55616
149,3, 55616
149,4, 55616
149,5, 54656
149,6, 54656
149,7, 54656
149,8, 54656
149,9, 54656
150, 54656
150,1, 54656
150,2, 54656
150,3, 54656
150,4, 54656
150,5, 56256
150,6, 56256
150,7, 56256
150,8, 56256
150,9, 56256
151, 56256
151,1, 56256
151,2, 56256
151,3, 56256
151,4, 56256
151,5, 56768
151,6, 56768
151,7, 56768
151,8, 56768
151,9, 56768
152, 56768
152,1, 56768
152,2, 56768
152,3, 56768
152,4, 56768
152,5, 57472
152,6, 57472
152,7, 57472
152,8, 57472
152,9, 57472
153, 57472
153,1, 57472
153,2, 57472
153,3, 57472
153,4, 57472
153,5, 56320
153,6, 56320
153,7, 56320
153,8, 56320
153,9, 56320
154, 56320
154,1, 56320
154,2, 56320
154,3, 56320
154,4, 56320
154,5, 56320
154,6, 56320
154,7, 56320
154,8, 56320
154,9, 56320
155, 56320
155,1, 56320
155,2, 56320
155,3, 56320
155,4, 56320
155,5, 55360
155,6, 55360
155,7, 55360
155,8, 55360
155,9, 55360
156, 55360
156,1, 55360
156,2, 55360
156,3, 55360
156,4, 55360
156,5, 55488
156,6, 55488
156,7, 55488
156,8, 55488
156,9, 55488
157, 55488
