Pixels, Value
0, 4672
72,7, 5824
72,8, 5824
72,9, 5824
73, 5824
73,1, 5824
73,2, 5696
73,3, 5696
73,4, 5696
73,5, 5696
73,6, 5696
73,7, 5696
73,8, 5696
73,9, 5696
74, 5696
74,1, 5696
74,2, 6080
74,3, 6080
74,4, 6080
74,5, 6080
74,6, 6080
74,7, 6080
74,8, 6080
74,9, 6080
75, 6080
75,1, 6080
75,2, 6976
75,3, 6976
75,4, 6976
75,5, 6976
75,6, 6976
75,7, 6976
75,8, 6976
75,9, 6976
76, 6976
76,1, 6976
76,2, 6592
76,3, 6592
76,4, 6592
76,5, 6592
76,6, 6592
76,7, 6592
76,8, 6592
76,9, 6592
77, 6592
77,1, 6592
77,2, 7232
77,3, 7232
77,4, 7232
77,5, 7232
77,6, 7232
77,7, 7232
77,8, 7232
77,9, 7232
78, 7232
78,1, 7232
78,2, 7488
78,3, 7488
78,4, 7488
78,5, 7488
78,6, 7488
78,7, 7488
78,8, 7488
78,9, 7488
79, 7488
79,1, 7488
79,2, 7808
79,3, 7808
79,4, 7808
79,5, 7808
79,6, 7808
79,7, 7808
79,8, 7808
79,9, 7808
80, 7808
80,1, 7808
80,2, 8000
80,3, 8000
80,4, 8000
80,5, 8000
80,6, 8000
80,7, 8000
80,8, 8000
80,9, 8000
81, 8000
81,1, 8000
81,2, 8960
81,3, 8960
81,4, 8960
81,5, 8960
81,6, 8960
81,7, 8960
81,8, 8960
81,9, 8960
82, 8960
82,1, 8960
82,2, 9472
82,3, 9472
82,4, 9472
82,5, 9472
82,6, 9472
82,7, 9472
82,8, 9472
82,9, 9472
83, 9472
83,1, 9472
83,2, 10240
83,3, 10240
83,4, 10240
83,5, 10240
83,6, 10240
83,7, 10240
83,8, 10240
83,9, 10240
84, 10240
84,1, 10240
84,2, 11584
84,3, 11584
84,4, 11584
84,5, 11584
84,6, 11584
84,7, 11584
84,8, 11584
84,9, 11584
85, 11584
85,1, 11584
85,2, 18816
85,3, 18816
85,4, 18816
85,5, 18816
85,6, 18816
85,7, 18816
85,8, 18816
85,9, 18816
86, 18816
86,1, 18816
86,2, 35712
86,3, 35712
86,4, 35712
86,5, 35712
86,6, 35712
86,7, 35712
86,8, 35712
86,9, 35712
87, 35712
87,1, 35712
87,2, 44224
87,3, 44224
87,4, 44224
87,5, 44224
87,6, 44224
87,7, 44224
87,8, 44224
87,9, 44224
88, 44224
88,1, 44224
88,2, 48576
88,3, 48576
88,4, 48576
88,5, 48576
88,6, 48576
88,7, 48576
88,8, 48576
88,9, 48576
89, 48576
89,1, 48576
89,2, 50816
89,3, 50816
89,4, 50816
89,5, 50816
89,6, 50816
89,7, 50816
89,8, 50816
89,9, 50816
90, 50816
90,1, 50816
90,2, 51776
90,3, 51776
90,4, 51776
90,5, 51776
90,6, 51776
90,7, 51776
90,8, 51776
90,9, 51776
91, 51776
91,1, 51776
91,2, 53632
91,3, 53632
91,4, 53632
91,5, 53632
91,6, 53632
91,7, 53632
91,8, 53632
91,9, 53632
92, 53632
92,1, 53632
92,2, 54848
92,3, 54848
92,4, 54848
92,5, 54848
92,6, 54848
92,7, 54848
92,8, 54848
92,9, 54848
93, 54848
93,1, 54848
93,2, 52992
93,3, 52992
93,4, 52992
93,5, 52992
93,6, 52992
93,7, 52992
93,8, 52992
93,9, 52992
94, 52992
94,1, 52992
94,2, 55872
94,3, 55872
94,4, 55872
94,5, 55872
94,6, 55872
94,7, 55872
94,8, 55872
94,9, 55872
95, 55872
95,1, 55872
95,2, 55488
95,3, 55488
95,4, 55488
95,5, 55488
95,6, 55488
95,7, 55488
95,8, 55488
95,9, 55488
96, 55488
96,1, 55488
96,2, 55808
96,3, 55808
96,4, 55808
96,5, 55808
96,6, 55808
96,7, 55808
96,8, 55808
96,9, 55808
97, 55808
97,1, 55808
97,2, 55488
97,3, 55488
97,4, 55488
97,5, 55488
97,6, 55488
97,7, 55488
97,8, 55488
97,9, 55488
98, 55488
98,1, 55488
98,2, 55744
98,3, 55744
98,4, 55744
98,5, 55744
98,6, 55744
98,7, 55744
98,8, 55744
98,9, 55744
99, 55744
99,1, 55744
99,2, 55808
99,3, 55808
99,4, 55808
99,5, 55808
99,6, 55808
99,7, 55808
99,8, 55808
99,9, 55808
100, 55808
100,1, 55808
100,2, 55680
100,3, 55680
100,4, 55680
100,5, 55680
100,6, 55680
100,7, 55680
100,8, 55680
100,9, 55680
101, 55680
101,1, 55680
101,2, 57536
101,3, 57536
101,4, 57536
101,5, 57536
101,6, 57536
101,7, 57536
101,8, 57536
101,9, 57536
102, 57536
102,1, 57536
102,2, 56640
102,3, 56640
102,4, 56640
102,5, 56640
102,6, 56640
102,7, 56640
102,8, 56640
102,9, 56640
103, 56640
103,1, 56640
103,2, 56640
103,3, 56640
103,4, 56640
103,5, 56640
103,6, 56640
103,7, 56640
103,8, 56640
103,9, 56640
104, 56640
104,1, 56640
104,2, 55744
104,3, 55744
104,4, 55744
104,5, 55744
104,6, 55744
104,7, 55744
104,8, 55744
104,9, 55744
105, 55744
105,1, 55744
105,2, 55680
105,3, 55680
105,4, 55680
105,5, 55680
105,6, 55680
105,7, 55680
105,8, 55680
105,9, 55680
106, 55680
106,1, 55680
106,2, 56256
106,3, 56256
106,4, 56256
106,5, 56256
106,6, 56256
106,7, 56256
106,8, 56256
106,9, 56256
107, 56256
107,1, 56256
107,2, 56128
107,3, 56128
107,4, 56128
107,5, 56128
107,6, 56128
107,7, 56128
107,8, 56128
107,9, 56128
108, 56128
108,1, 56128
108,2, 56128
108,3, 56128
108,4, 56128
108,5, 56128
108,6, 56128
108,7, 56128
108,8, 56128
108,9, 56128
109, 56128
109,1, 56128
109,2, 56384
109,3, 56384
109,4, 56384
109,5, 56384
109,6, 56384
109,7, 56384
109,8, 56384
109,9, 56384
110, 56384
110,1, 56384
110,2, 56896
110,3, 56896
110,4, 56896
110,5, 56896
110,6, 56896
110,7, 56896
110,8, 56896
110,9, 56896
111, 56896
111,1, 56896
111,2, 56384
111,3, 56384
111,4, 56384
111,5, 56384
111,6, 56384
111,7, 56384
111,8, 56384
111,9, 56384
112, 56384
112,1, 56384
112,2, 56896
112,3, 56896
112,4, 56896
112,5, 56896
112,6, 56896
112,7, 56896
